VMs,TimeWindow,Model,Score,BestParams
plane-lab-pb1_uni-paderborn_de_princeton_codeen,20,GradientBoosting,0.001967167,"{'min_samples_split': 8, 'warm_start': False, 'loss': 'huber', 'max_leaf_nodes': 9, 'min_samples_leaf': 10, 'learning_rate': 0.05, 'presort': False, 'min_weight_fraction_leaf': 0, 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}"
plane-lab-pb1_uni-paderborn_de_root,15,RandomForest,0.016735669,"{'bootstrap': False, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_depth': 2, 'n_estimators': 20}"
plane-lab-pb2_uni-paderborn_de_irisaple_HEAP,5,SVR,0.000571581,"{'coef0': 0, 'degree': 14, 'kernel': 'rbf', 'shrinking': False, 'C': 1, 'epsilon': 0}"
plane-lab-pb2_uni-paderborn_de_princeton_codeen,20,SVR,0.001001418,"{'coef0': 0, 'degree': 9, 'kernel': 'rbf', 'shrinking': True, 'C': 1, 'epsilon': 0}"
plane-lab-pb2_uni-paderborn_de_root,1,DecisionTree,0.010789147,"{'max_leaf_nodes': 5, 'min_samples_leaf': 3, 'min_impurity_decrease': 7, 'presort': True, 'min_samples_split': 7, 'max_depth': 5, 'max_features': 'auto', 'min_weight_fraction_leaf': 0}"
plane-lab-pb2_uni-paderborn_de_uw_oneswarm,5,LinearRegression,0.018831503,None
planet-lab-node1_netgroup_uniroma2_it_irisaple_wup,5,DNN,0.005889195,14
planet-lab-node1_netgroup_uniroma2_it_uw_oneswarm,10,SVR,0.008236193,"{'coef0': 0, 'degree': 3, 'kernel': 'rbf', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planet-lab-node2_netgroup_uniroma2_it_uw_oneswarm,20,RandomForest,0.010784046,"{'bootstrap': True, 'min_samples_split': 6, 'min_samples_leaf': 5, 'max_depth': 5, 'n_estimators': 50}"
planet-lab1_cs_ucr_edu_uw_oneswarm,10,LinearRegression,0.014974469,None
planet-lab1_ufabc_edu_br_irisaple_HEAP,20,SVR,0.001185119,"{'coef0': 0, 'degree': 4, 'kernel': 'rbf', 'shrinking': False, 'C': 1, 'epsilon': 0}"
planet-lab1_ufabc_edu_br_nyu_d,20,DNN,0.000245413,99
planet-lab1_ufabc_edu_br_princeton_codeen,15,LinearRegression,0.002170129,None
planet-lab1_ufabc_edu_br_root,10,DNN,0.019683389,40
planet-lab1_ufabc_edu_br_uw_oneswarm,15,SVR,0.011242893,"{'coef0': 0, 'degree': 4, 'kernel': 'linear', 'shrinking': False, 'C': 1, 'epsilon': 0}"
planet-lab2_cs_ucr_edu_upmc_ts,1,GradientBoosting,0.000175269,"{'min_samples_split': 5, 'warm_start': False, 'loss': 'huber', 'max_leaf_nodes': 8, 'min_samples_leaf': 3, 'learning_rate': 0.05, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 2, 'max_features': 'log2', 'n_estimators': 20}"
planet-lab2_cs_ucr_edu_uw_oneswarm,10,LinearRegression,0.009621582,None
planet-lab2_uba_ar_uw_oneswarm,10,LinearRegression,0.003541338,None
planet01_hhi_fraunhofer_de_uw_oneswarm,20,RandomForest,0.006198697,"{'bootstrap': True, 'min_samples_split': 5, 'min_samples_leaf': 9, 'max_depth': 5, 'n_estimators': 100}"
planet03_csc_ncsu_edu_uw_oneswarm,10,SVR,0.028971983,"{'coef0': 0, 'degree': 17, 'kernel': 'rbf', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planet0_jaist_ac_jp_nyu_d,20,DNN,0.000259005,35
planet0_jaist_ac_jp_root,2,AdaBooster,0.015583733,"{'learning_rate': 0.01, 'loss': 'exponential', 'n_estimators': 10}"
planet11_csc_ncsu_edu_uw_oneswarm,15,SVR,0.004081131,"{'coef0': 0, 'degree': 18, 'kernel': 'sigmoid', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planet12_csc_ncsu_edu_irisaple_HEAP,20,DNN,0.001006349,66
planet1_att_nodes_planet-lab_org_root,15,SVR,0.013355345,"{'coef0': 0, 'degree': 11, 'kernel': 'rbf', 'shrinking': False, 'C': 1, 'epsilon': 0}"
planet1_att_nodes_planet-lab_org_uw_oneswarm,15,GradientBoosting,0.0213558,"{'min_samples_split': 7, 'warm_start': False, 'loss': 'lad', 'max_leaf_nodes': 3, 'min_samples_leaf': 4, 'learning_rate': 0.05, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200}"
planet1_cs_rit_edu_princeton_codeen,20,RandomForest,0.002172318,"{'bootstrap': True, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_depth': None, 'n_estimators': 50}"
planet1_cs_rit_edu_root,5,DNN,0.004052347,73
planet1_cs_rit_edu_uw_oneswarm,15,SVR,0.003600273,"{'coef0': 0, 'degree': 7, 'kernel': 'sigmoid', 'shrinking': False, 'C': 1, 'epsilon': 0}"
planet1_cs_rochester_edu_irisaple_HEAP,15,GradientBoosting,0.000341577,"{'min_samples_split': 2, 'warm_start': False, 'loss': 'ls', 'max_leaf_nodes': 7, 'min_samples_leaf': 10, 'learning_rate': 0.05, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 2, 'max_features': 'log2', 'n_estimators': 10}"
planet1_cs_rochester_edu_princeton_codeen,20,SVR,0.000971983,"{'coef0': 0, 'degree': 8, 'kernel': 'linear', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planet1_cs_rochester_edu_uw_oneswarm,15,DNN,0.002061088,94
planet1_jaist_ac_jp_nyu_d,15,SVR,0.000361237,"{'coef0': 0, 'degree': 11, 'kernel': 'linear', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planet1_jaist_ac_jp_root,3,DNN,0.013554845,64
planet1_jaist_ac_jp_uw_oneswarm,20,DNN,0.022264422,75
planet1_l3s_uni-hannover_de_nyu_d,15,RandomForest,0.000999743,"{'bootstrap': True, 'min_samples_split': 3, 'min_samples_leaf': 10, 'max_depth': None, 'n_estimators': 20}"
planet1_l3s_uni-hannover_de_root,20,DNN,0.011838287,15
planet1_l3s_uni-hannover_de_utokyo_sora,20,DNN,0.00010021,57
planet1_pnl_nitech_ac_jp_uw_oneswarm,15,LinearRegression,0.007753038,None
planet1_prakinf_tu-ilmenau_de_princeton_codeen,15,DNN,0.012031604,11
planet1_prakinf_tu-ilmenau_de_root,20,AdaBooster,0.01389903,"{'learning_rate': 0.01, 'loss': 'square', 'n_estimators': 20}"
planet1_scs_cs_nyu_edu_irisaple_HEAP,15,GradientBoosting,0.001399935,"{'min_samples_split': 6, 'warm_start': True, 'loss': 'lad', 'max_leaf_nodes': 10, 'min_samples_leaf': 5, 'learning_rate': 0.01, 'presort': False, 'min_weight_fraction_leaf': 0, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 200}"
planet1_scs_cs_nyu_edu_nyu_d,5,GradientBoosting,0.000311253,"{'min_samples_split': 4, 'warm_start': True, 'loss': 'huber', 'max_leaf_nodes': 4, 'min_samples_leaf': 4, 'learning_rate': 0.1, 'presort': False, 'min_weight_fraction_leaf': 0, 'max_depth': 2, 'max_features': 'log2', 'n_estimators': 20}"
planet1_scs_cs_nyu_edu_princeton_codeen,20,SVR,0.003390895,"{'coef0': 0, 'degree': 6, 'kernel': 'rbf', 'shrinking': False, 'C': 1, 'epsilon': 0}"
planet1_scs_cs_nyu_edu_root,20,RandomForest,0.007799314,"{'bootstrap': True, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_depth': 2, 'n_estimators': 50}"
planet1_scs_cs_nyu_edu_uw_oneswarm,15,SVR,0.004213547,"{'coef0': 0, 'degree': 18, 'kernel': 'sigmoid', 'shrinking': True, 'C': 1, 'epsilon': 0}"
planet1_servers_ua_pt_irisaple_HEAP,10,DNN,0.001033724,96
planet1_servers_ua_pt_irisaple_wup,5,DNN,0.00168104,12
planet1_servers_ua_pt_uw_oneswarm,10,GradientBoosting,0.00409583,"{'min_samples_split': 3, 'warm_start': False, 'loss': 'lad', 'max_leaf_nodes': 3, 'min_samples_leaf': 2, 'learning_rate': 0.05, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100}"
planet2_att_nodes_planet-lab_org_root,15,DNN,0.011910611,43
planet2_att_nodes_planet-lab_org_uw_oneswarm,15,DNN,0.017850576,66
planet2_att_nodes_planet-lab_org_uw_seattle,3,GradientBoosting,0.000365434,"{'min_samples_split': 4, 'warm_start': False, 'loss': 'ls', 'max_leaf_nodes': 6, 'min_samples_leaf': 6, 'learning_rate': 0.05, 'presort': True, 'min_weight_fraction_leaf': 0, 'max_depth': None, 'max_features': 'log2', 'n_estimators': 20}"
planet2_cc_gt_atl_ga_us_nyu_d,5,SVR,0.000718637,"{'coef0': 0, 'degree': 8, 'kernel': 'sigmoid', 'shrinking': False, 'C': 1, 'epsilon': 0}"
